date,day,shortday
08/31/16,Students Start,n
09/01/16,1,n
09/02/16,Labor Day,n
09/05/16,Labor Day,n
09/06/16,2,n
09/07/16,3,n
09/08/16,4,n
09/09/16,5,n
09/12/16,6,n
09/13/16,7,n
09/14/16,8,y
09/15/16,1,n
09/16/16,2,n
09/19/16,3,n
09/20/16,4,n
09/21/16,5,n
09/22/16,6,n
09/23/16,7,n
09/26/16,8,n
09/27/16,1,n
09/28/16,2,y
09/29/16,3,n
09/30/16,4,n
10/03/16,5,n
10/04/16,6,n
10/05/16,7,y
10/06/16,8,n
10/07/16,1,n
10/10/16,Columbus Day,n
10/11/16,2,n
10/12/16,Yom Kippur,n
10/13/16,3,n
10/14/16,4,n
10/17/16,5,n
10/18/16,6,n
10/19/16,7,y
10/20/16,8,n
10/21/16,1,n
10/24/16,2,n
10/25/16,3,n
10/26/16,4,n
10/27/16,5,n
10/28/16,6,n
10/31/16,7,n
11/01/16,8,n
11/02/16,1,y
11/03/16,2,n
11/04/16,3,n
11/07/16,4,n
11/08/16,Inservice,n
11/09/16,5,n
11/10/16,6,n
11/11/16,Veterans Day,n
11/14/16,7,n
11/15/16,8,n
11/16/16,1,y
11/17/16,2,n
11/18/16,3,n
11/21/16,4,n
11/22/16,5,n
11/23/16,Spirit Day,n
11/24/16,Thanksgiving,n
11/25/16,Break,n
11/28/16,6,n
11/29/16,7,n
11/30/16,8,n
12/01/16,1,n
12/02/16,2,n
12/05/16,3,n
12/06/16,4,n
12/07/16,5,y
12/08/16,6,n
12/09/16,7,n
12/12/16,8,n
12/13/16,1,n
12/14/16,2,n
12/15/16,3,n
12/16/16,4,n
12/19/16,5,n
12/20/16,6,n
12/21/16,7,y
12/22/16,8,n
12/23/16,1 (1/2 day),n
12/26/16,Winter,n
01/02/17,Break,n
01/03/17,2,n
01/04/17,3,n
01/05/17,4,n
01/06/17,5,n
01/09/17,6,n
01/10/17,7,n
01/11/17,8,y
01/12/17,1,n
01/13/17,2,n
01/16/17,MLK Day,n
01/17/17,Exams,n
01/18/17,Exams,n
01/19/17,Exams,n
01/20/17,Exams,n
01/23/17,1,n
01/24/17,2,n
01/25/17,3,y
01/26/17,4,n
01/27/17,5,n
01/30/17,6,n
01/31/17,7,n
02/01/17,8,y
02/02/17,1,n
02/03/17,2,n
02/06/17,3,n
02/07/17,4,n
02/08/17,5,n
02/09/17,6,n
02/10/17,7,n
02/13/17,8,n
02/14/17,1,n
02/15/17,2,y
02/16/17,3,n
02/17/17,4,n
02/20/17,February ,n
02/24/17,Vacation,n
02/27/17,5,n
02/28/17,6,n
03/01/17,7,y
03/02/17,8,n
03/03/17,1,n
03/06/17,2,n
03/07/17,3,n
03/08/17,4,n
03/09/17,5,n
03/10/17,6,n
03/13/17,7,n
03/14/17,8,n
03/15/17,1,y
03/16/17,2,n
03/17/17,3,n
03/20/17,4,n
03/21/17,5,n
03/22/17,6,n
03/23/17,7,n
03/24/17,8,n
03/27/17,1,n
03/28/17,2,n
03/29/17,3,y
03/30/17,4,n
03/31/17,5,n
04/03/17,6,n
04/04/17,7,n
04/05/17,8,n
04/06/17,2,n
04/07/17,3,n
04/10/17,4,n
04/11/17,5,n
04/12/17,5,y
04/13/17,6,n
04/14/17,Good Friday,n
04/17/17,Spring,n
04/21/17,Vacation,n
04/24/17,7,n
04/25/17,8,n
04/26/17,1,y
04/27/17,2,n
04/28/17,3,n
05/01/17,4,n
05/02/17,5,n
05/03/17,6,n
05/04/17,7,n
05/05/17,8,n
05/08/17,1,n
05/09/17,2,n
05/10/17,3,y
05/11/17,4,n
05/12/17,5,n
05/15/17,6,n
05/16/17,7,n
05/17/17,8,n
05/18/17,1,n
05/19/17,2,n
05/22/17,3,n
05/23/17,4,n
05/24/17,5,y
05/25/17,6,n
05/26/17,7,n
05/29/17,Memorial Day,n
05/30/17,8,n
05/31/17,1,n
06/01/17,2,n
06/02/17,3,n
06/05/17,4,n
06/06/17,5,n
06/07/17,6,y
06/08/17,7,n
06/09/17,8,n
06/12/17,Exams,n
06/13/17,Exams,n
06/14/17,Exams,n
06/15/17,Exams,n